# id	sire	dam	sex	generation
253	-9997	-9996	2	F2
256	-9997	-9996	2	F2
259	-9997	-9996	1	F2
260	-9997	-9996	2	F2
262	-9997	-9996	1	F2
263	-9997	-9996	1	F2
265	-9997	-9996	1	F2
266	-9997	-9996	2	F2
267	-9997	-9996	2	F2
269	-9997	-9996	2	F2
272	-9997	-9996	2	F2
274	-9997	-9996	1	F2
275	-9997	-9996	2	F2
280	-9997	-9996	2	F2
282	-9997	-9996	2	F2
284	-9997	-9996	2	F2
285	-9997	-9996	2	F2
288	-9997	-9996	2	F2
289	-9997	-9996	2	F2
290	-9997	-9996	2	F2
291	-9997	-9996	2	F2
292	-9997	-9996	2	F2
297	-9997	-9996	1	F2
298	-9997	-9996	1	F2
299	-9997	-9996	2	F2
300	-9997	-9996	2	F2
301	-9997	-9996	1	F2
302	-9997	-9996	2	F2
307	-9997	-9996	2	F2
308	-9997	-9996	1	F2
309	-9997	-9996	2	F2
312	-9997	-9996	1	F2
314	-9997	-9996	2	F2
315	-9997	-9996	2	F2
316	-9997	-9996	2	F2
317	-9997	-9996	1	F2
318	-9997	-9996	2	F2
319	-9997	-9996	1	F2
323	-9997	-9996	1	F2
324	-9997	-9996	2	F2
326	-9997	-9996	1	F2
327	-9997	-9996	2	F2
328	-9997	-9996	2	F2
331	-9997	-9996	2	F2
332	-9997	-9996	2	F2
333	-9997	-9996	1	F2
334	-9997	-9996	2	F2
336	-9997	-9996	1	F2
337	-9997	-9996	2	F2
338	-9997	-9996	2	F2
339	-9997	-9996	2	F2
340	-9997	-9996	2	F2
341	-9997	-9996	2	F2
342	-9997	-9996	1	F2
343	-9997	-9996	1	F2
344	-9997	-9996	1	F2
346	-9997	-9996	2	F2
347	-9997	-9996	2	F2
348	-9997	-9996	1	F2
349	-9997	-9996	1	F2
350	-9997	-9996	1	F2
351	-9997	-9996	2	F2
354	-9997	-9996	2	F2
355	-9997	-9996	1	F2
356	-9997	-9996	2	F2
357	-9997	-9996	2	F2
359	-9997	-9996	1	F2
360	-9997	-9996	2	F2
363	-9997	-9996	1	F2
364	-9997	-9996	2	F2
365	-9997	-9996	1	F2
366	-9997	-9996	2	F2
370	-9997	-9996	1	F2
371	-9997	-9996	1	F2
372	-9997	-9996	2	F2
373	-9997	-9996	1	F2
374	-9997	-9996	2	F2
375	-9997	-9996	1	F2
377	-9997	-9996	1	F2
378	-9997	-9996	1	F2
379	-9997	-9996	2	F2
382	-9997	-9996	2	F2
383	-9997	-9996	1	F2
385	-9997	-9996	2	F2
387	-9997	-9996	1	F2
388	-9997	-9996	1	F2
389	-9997	-9996	2	F2
390	-9997	-9996	1	F2
392	-9997	-9996	1	F2
393	-9997	-9996	1	F2
394	-9997	-9996	1	F2
395	-9997	-9996	1	F2
396	-9997	-9996	2	F2
397	-9997	-9996	2	F2
398	-9997	-9996	2	F2
399	-9997	-9996	1	F2
400	-9997	-9996	1	F2
401	-9997	-9996	2	F2
402	-9997	-9996	1	F2
403	-9997	-9996	1	F2
405	-9997	-9996	1	F2
406	-9997	-9996	1	F2
407	-9997	-9996	2	F2
408	-9997	-9996	2	F2
409	-9997	-9996	2	F2
410	-9997	-9996	2	F2
411	-9997	-9996	2	F2
412	-9997	-9996	2	F2
413	-9997	-9996	1	F2
414	-9997	-9996	1	F2
415	-9997	-9996	1	F2
417	-9997	-9996	2	F2
418	-9997	-9996	2	F2
420	-9997	-9996	2	F2
422	-9997	-9996	1	F2
424	-9997	-9996	1	F2
425	-9997	-9996	2	F2
426	-9997	-9996	1	F2
428	-9997	-9996	2	F2
429	-9997	-9996	1	F2
431	-9997	-9996	1	F2
433	-9997	-9996	2	F2
436	-9997	-9996	1	F2
437	-9997	-9996	1	F2
438	-9997	-9996	1	F2
439	-9997	-9996	1	F2
441	-9997	-9996	2	F2
443	-9997	-9996	1	F2
445	-9997	-9996	1	F2
446	-9997	-9996	1	F2
447	-9997	-9996	1	F2
451	-9997	-9996	1	F2
452	-9997	-9996	1	F2
453	-9997	-9996	2	F2
454	-9997	-9996	2	F2
455	-9997	-9996	1	F2
458	-9997	-9996	2	F2
459	-9997	-9996	1	F2
460	-9997	-9996	2	F2
461	-9997	-9996	1	F2
462	-9997	-9996	2	F2
463	-9997	-9996	2	F2
466	-9997	-9996	2	F2
467	-9997	-9996	1	F2
468	-9997	-9996	2	F2
470	-9997	-9996	2	F2
472	-9997	-9996	1	F2
473	-9997	-9996	1	F2
474	-9997	-9996	2	F2
475	-9997	-9996	1	F2
476	-9997	-9996	1	F2
478	-9997	-9996	1	F2
1182	-9997	-9996	1	F2
1190	-9997	-9996	2	F2
1191	-9997	-9996	1	F2
545	100	116	1	F3
569	186	167	2	F3
572	87	132	2	F3
575	186	167	1	F3
578	87	132	1	F3
662	84	198	1	F3
679	127	141	2	F3
680	127	141	1	F3
684	154	113	2	F3
691	154	113	1	F3
692	125	128	1	F3
694	125	128	2	F3
696	165	202	1	F3
697	165	202	1	F3
699	73	101	2	F3
705	73	101	2	F3
730	196	124	2	F3
731	196	124	1	F3
733	204	121	2	F3
738	204	121	1	F3
759	195	178	2	F3
789	68	201	2	F3
792	68	201	1	F3
853	123	191	2	F3
854	123	191	1	F3
888	210	266	2	F3
889	210	266	1	F3
948	251	272	2	F3
950	218	282	2	F3
951	218	282	1	F3
955	251	272	1	F3
1011	200	280	1	F3
1029	259	256	1	F3
1030	259	256	2	F3
1032	220	267	2	F3
1036	239	260	1	F3
1057	238	269	2	F3
1059	238	269	1	F3
1060	245	233	1	F3
1065	250	215	2	F3
1070	231	208	2	F3
1071	231	208	1	F3
1079	223	243	1	F3
1085	274	253	2	F3
1086	223	243	2	F3
1090	232	216	2	F3
1091	232	216	1	F3
1094	217	228	2	F3
1102	217	228	1	F3
1115	183	226	2	F3
1118	263	242	1	F3
1124	263	242	2	F3
1134	197	249	1	F3
1138	197	249	2	F3
1139	478	135	2	F3 # sire randomly assigned
1140	478	135	1	F3 # sire randomly assigned
1162	230	275	2	F3
1163	230	275	1	F3
1198	323	332	2	F3
1202	326	334	2	F3
1207	326	334	1	F3
1209	323	332	1	F3
1214	349	292	1	F3
1219	143	130	2	F3
1223	349	292	2	F3
1225	297	315	2	F3
1231	297	315	1	F3
1235	131	309	2	F3
1252	363	299	1	F3
1254	301	318	1	F3
1261	301	318	2	F3
1264	363	299	2	F3
1273	312	327	2	F3
1282	342	284	2	F3
1283	342	284	1	F3
1293	350	316	2	F3
1310	298	314	2	F3
1313	298	314	1	F3
1314	344	302	1	F3
1315	344	302	2	F3
1319	319	331	1	F3
1320	225	104	2	F3
1328	225	104	1	F3
1332	259	66	2	F3
1333	265	175	1	F3
1337	265	175	2	F3
1342	259	66	1	F3
1365	229	187	1	F3
1367	229	187	2	F3
1377	160	168	2	F3
1379	160	168	1	F3
1380	136	67	2	F3
1381	136	67	1	F3
1387	317	291	1	F3
1390	355	307	2	F3
1391	355	307	1	F3
1401	317	291	2	F3
1411	262	155	2	F3
1413	262	155	1	F3
1417	120	162	1	F3
1419	120	162	2	F3
1422	365	288	2	F3
1435	365	288	1	F3
1462	308	328	1	F3
1463	308	328	2	F3
1466	343	290	2	F3
1467	343	290	1	F3
1477	108	203	1	F3
1479	118	213	1	F3
1481	118	213	2	F3
1485	165	190	1	F3
1486	165	135	2	F3
1501	222	97	1	F3
1510	336	289	2	F3
1521	348	285	1	F3
1525	333	300	1	F3
1526	115	236	1	F3
1530	395	341	1	F3
1532	395	341	1	F3
1539	370	397	1	F3
1540	400	382	2	F3
1541	400	382	2	F3
1550	388	346	2	F3
1561	395	341	1	F3
1563	115	236	2	F3
1566	115	236	1	F3
1569	405	337	2	F3
1575	406	374	1	F3
1577	406	374	2	F3
1585	394	351	1	F3
1586	394	351	2	F3
1588	405	337	1	F3
1594	392	364	2	F3
1597	403	339	2	F3
1604	403	339	1	F3
1609	392	364	1	F3
1612	390	338	2	F3
1619	390	338	1	F3
1623	393	360	2	F3
1626	393	360	2	F3
1629	399	347	1	F3
1638	414	396	1	F3
1644	415	354	2	F3
1645	415	354	2	F3
1655	373	398	1	F3
1664	375	356	2	F3
1668	413	379	1	F3
1672	377	366	1	F3
1677	377	366	2	F3
1685	413	379	2	F3
1688	383	372	1	F3
1696	378	385	2	F3
1699	378	385	1	F3
1708	387	340	2	F3
1721	402	357	1	F3
1729	387	340	1	F3
1734	371	389	2	F3
1738	429	409	2	F3
1747	426	401	1	F3
1750	426	401	2	F3
1754	429	409	1	F3
1762	422	407	2	F3
1766	431	408	2	F3
1775	445	428	2	F3
1778	445	428	1	F3
1782	359	324	2	F3
1789	436	425	2	F3
1791	436	425	1	F3
1799	446	412	2	F3
1800	446	412	1	F3
1817	443	418	2	F3
1819	443	418	1	F3
1825	438	417	1	F3
1826	438	417	2	F3
1831	437	411	2	F3
1834	439	420	1	F3
1839	439	420	2	F3
1848	478	462	1	F3
1855	447	458	2	F3
1857	447	458	1	F3
1862	472	463	1	F3
1868	472	463	2	F3
1876	476	441	1	F3
1884	473	453	2	F3
1885	473	453	1	F3
1893	461	474	1	F3
1894	461	474	2	F3
1899	424	410	1	F3
1917	459	470	1	F3
1919	459	470	2	F3
1927	467	454	2	F3
1943	452	460	2	F3
1949	475	433	1	F3
1959	455	466	2	F3
1961	455	466	1	F3
1970	451	468	2	F3
1973	451	468	1	F3
2215	680	789	2	F4
2287	545	888	1	F4
2291	545	888	2	F4
2380	692	679	2	F4
2391	889	1032	2	F4
2393	889	1032	1	F4
2396	738	572	2	F4
2401	738	572	1	F4
2407	1029	1162	1	F4
2409	1029	1162	2	F4
2519	662	759	2	F4
2527	662	759	1	F4
2536	697	569	1	F4
2538	697	569	2	F4
2548	731	948	1	F4
2549	731	948	1	F4
2551	955	699	2	F4
2561	955	699	1	F4
2566	1011	1094	1	F4
2569	1011	1094	2	F4
2571	1102	733	1	F4
2585	1060	684	1	F4
2593	1140	950	1	F4
2597	1140	950	2	F4
2611	575	1139	1	F4
2613	575	1139	2	F4
2624	578	1090	1	F4
2625	578	1090	2	F4
2628	792	1115	2	F4
2631	792	1115	1	F4
2639	854	1086	2	F4
2644	854	1086	1	F4
2648	1036	1070	2	F4
2653	1036	1070	1	F4
2663	696	1124	1	F4
2665	696	1124	2	F4
2676	1079	1057	2	F4
2678	1079	1057	1	F4
2679	691	1085	2	F4
2688	1059	853	1	F4
2695	1059	853	2	F4
2698	1071	1065	2	F4
2700	1071	1065	1	F4
2706	1118	1030	2	F4
2711	1118	1030	1	F4
2718	951	694	2	F4
2720	951	694	1	F4
2745	1091	1138	2	F4
2759	1134	705	1	F4
2761	1134	705	2	F4
2780	1163	730	1	F4
2782	1163	730	2	F4
2785	1163	730	1	F4
2958	1319	1219	1	F4
2960	1319	1219	2	F4
2972	1254	1235	1	F4
2976	1254	1235	2	F4
2985	1413	1315	1	F4
2986	1413	1315	2	F4
3055	1328	1223	2	F4
3059	1328	1223	1	F4
3064	1342	1264	2	F4
3069	1342	1264	1	F4
3074	1333	1190	2	F4
3080	1333	1190	1	F4
3207	1209	1380	2	F4
3209	1209	1380	1	F4
3217	1379	1401	1	F4
3225	1417	1337	2	F4
3235	1417	1337	1	F4
3254	1462	1320	2	F4
3257	1462	1320	1	F4
3269	1252	1390	2	F4
3270	1252	1390	1	F4
3274	1214	1282	1	F4
3281	1214	1282	2	F4
3293	1314	1377	2	F4
3304	1314	1377	1	F4
3320	1435	1367	1	F4
3329	1283	1486	2	F4
3333	1283	1486	1	F4
3337	1501	1293	1	F4
3345	1501	1293	2	F4
3378	1479	1463	2	F4
3379	1479	1463	1	F4
3384	1485	1273	1	F4
3387	1485	1273	2	F4
3394	1467	1481	1	F4
3400	1231	1510	2	F4
3403	1231	1510	1	F4
3409	1387	1261	1	F4
3414	1387	1261	2	F4
3475	1539	1541	2	F4
3483	1539	1541	1	F4
3485	1532	1586	1	F4
3488	1532	1586	2	F4
3494	1391	1419	2	F4
3496	1391	1419	1	F4
3504	1561	1198	2	F4
3505	1561	1198	1	F4
3511	1365	1550	1	F4
3512	1365	1550	2	F4
3518	1313	1664	1	F4
3526	1313	1664	2	F4
3528	1588	1577	1	F4
3529	1588	1577	2	F4
3605	1604	1225	2	F4
3606	1604	1225	1	F4
3610	1575	1569	1	F4
3617	1575	1569	2	F4
3628	1477	1411	2	F4
3632	1477	1411	1	F4
3636	1699	1623	1	F4
3645	1699	1623	2	F4
3661	1526	1540	2	F4
3667	1525	1563	2	F4
3672	1525	1563	1	F4
3680	1530	1466	2	F4
3743	1207	1597	2	F4
3744	1207	1597	1	F4
3746	1638	1677	1	F4
3747	1638	1677	2	F4
3756	1381	1685	1	F4
3759	1381	1685	2	F4
3762	1609	1202	2	F4
3765	1609	1202	1	F4
3775	1619	1332	1	F4
3777	1619	1332	2	F4
3795	1688	1612	1	F4
3803	1688	1612	2	F4
3818	1182	1422	2	F4
3835	1585	1734	2	F4
3838	1585	1734	1	F4
3867	1191	1310	2	F4
3869	1754	1594	1	F4
3872	1754	1594	1	F4
3941	1747	1782	2	F4
3948	1747	1782	1	F4
3950	1668	1839	1	F4
4014	1521	1789	1	F4
4020	1721	1762	2	F4
4025	1729	1831	1	F4
4026	1729	1831	2	F4
4041	1825	1708	1	F4
4043	1825	1708	2	F4
4044	1819	1696	2	F4
4046	1819	1696	1	F4
4054	1834	1738	1	F4
4058	1834	1738	2	F4
4071	1885	1817	1	F4
4078	1885	1817	2	F4
4080	1862	1766	1	F4
4082	1862	1766	1	F4
4100	1566	1855	2	F4
4104	1566	1855	1	F4
4109	1848	1927	2	F4
4110	1848	1927	2	F4
4138	1899	1884	1	F4
4139	1899	1884	2	F4
4143	1961	1799	2	F4
4157	1973	1775	2	F4
4165	1973	1775	1	F4
4180	1949	1943	2	F4
4187	1949	1943	1	F4
4208	1893	1644	2	F4
4243	1629	1959	2	F4
4256	1655	1919	2	F4
4258	1655	1919	1	F4
4264	1791	1894	1	F4
4267	1791	1894	2	F4
4274	1672	1750	1	F4
4295	1917	1826	2	F4
4302	1800	1868	2	F4
4306	1800	1868	1	F4
4331	1876	1970	2	F4
4333	1876	1970	1	F4
4346	1778	1626	1	F4
4350	1778	1626	2	F4
4419	1857	1645	1	F4
4424	1857	1645	2	F4
4571	2549	2538	2	F5
4573	2549	2538	1	F5
4585	2561	2291	2	F5
4589	2561	2291	1	F5
4590	2561	2291	2	F5
4639	2401	2215	2	F5
4640	2401	2215	1	F5
4688	2571	2639	1	F5
4691	2571	2639	2	F5
4715	2566	2409	2	F5
4716	2566	2409	1	F5
4717	2536	2698	1	F5
4718	2536	2698	2	F5
4719	2536	2698	1	F5
4823	2393	2519	1	F5
4826	2393	2519	2	F5
4828	2407	2569	1	F5
4831	2407	2569	2	F5
4833	2407	2569	2	F5
4887	2663	2613	1	F5
4889	2663	2613	2	F5
4900	2678	2679	2	F5
4909	2678	2679	1	F5
4914	2624	2718	1	F5
4915	2624	2718	2	F5
4917	2624	2718	2	F5
4919	2700	2380	1	F5
4921	2700	2380	2	F5
4939	2759	2706	1	F5
4940	2759	2706	2	F5
4970	2287	2665	1	F5
4974	2287	2665	2	F5
4976	2287	2665	1	F5
4987	2548	2628	1	F5
4988	2548	2628	2	F5
4998	2611	2625	1	F5
5006	2631	2648	1	F5
5007	2631	2648	2	F5
5018	2644	2551	2	F5
5041	2585	2695	2	F5
5050	2585	2695	1	F5
5056	2688	2391	1	F5
5058	2688	2391	1	F5
5060	2688	2391	2	F5
5066	2527	2761	1	F5
5070	2527	2761	2	F5
5084	2711	2745	1	F5
5088	2711	2745	2	F5
5111	2653	2396	2	F5
5113	2653	2396	1	F5
5135	2593	2597	2	F5
5136	2593	2597	1	F5
5196	2972	2986	1	F5
5202	2972	2986	2	F5
5296	2958	3254	2	F5
5298	2958	3254	1	F5
5305	2958	3254	2	F5
5345	2985	3064	2	F5
5348	2985	3064	2	F5
5350	2985	3064	1	F5
5432	3069	3074	1	F5
5434	3069	3074	2	F5
5436	3069	3074	1	F5
5496	3320	2976	2	F5
5503	3320	2976	1	F5
5507	3333	3378	1	F5
5510	3333	3378	2	F5
5525	3274	2960	2	F5
5528	3274	2960	1	F5
5530	3274	2960	1	F5
5570	3379	3345	2	F5
5571	3379	3345	1	F5
5572	3379	3345	1	F5
5580	3394	3387	2	F5
5581	3394	3387	1	F5
5588	3384	2782	2	F5
5589	3384	2782	1	F5
5591	3384	2782	2	F5
5601	2720	2676	1	F5
5612	3337	3055	2	F5
5617	2780	3475	1	F5
5619	2780	3475	1	F5
5621	2780	3475	2	F5
5627	3483	3329	2	F5
5637	3511	3269	2	F5
5644	3511	3269	1	F5
5646	3511	3269	1	F5
5657	3518	3504	2	F5
5658	3518	3504	1	F5
5676	3528	3512	1	F5
5689	3795	3818	1	F5
5690	3795	3818	2	F5
5706	3217	3529	1	F5
5707	3217	3529	2	F5
5741	3485	3661	1	F5
5747	3485	3661	2	F5
5750	3485	3661	1	F5
5757	3744	3225	1	F5
5761	3744	3225	2	F5
5765	3257	3667	1	F5
5776	3756	3494	1	F5
5783	3403	3762	1	F5
5784	3403	3762	1	F5
5785	3746	3777	1	F5
5788	3746	3777	2	F5
5792	3746	3777	2	F5
5814	3505	3803	2	F5
5817	3505	3803	2	F5
5822	3209	3645	2	F5
5823	3209	3645	1	F5
5829	3209	3645	2	F5
5832	3080	3617	1	F5
5835	3080	3617	2	F5
5843	3610	3743	2	F5
5844	3610	3743	1	F5
5867	3059	3835	1	F5
5870	3059	3835	2	F5
5880	3270	3605	2	F5
5883	3270	3605	1	F5
5939	3838	3281	1	F5
5941	3838	3281	2	F5
5958	3235	3941	2	F5
5961	3235	3941	1	F5
6020	3948	3207	1	F5
6024	3948	3207	2	F5
6028	3948	3207	2	F5
6046	3304	4043	2	F5
6051	3304	4043	2	F5
6053	3775	4044	2	F5
6058	3775	4044	1	F5
6062	4041	3414	1	F5
6070	4041	3414	2	F5
6094	4025	3400	2	F5
6096	4025	3400	1	F5
6110	4014	3680	1	F5
6117	4014	3680	2	F5
6122	3409	4058	2	F5
6126	3409	4058	2	F5
6130	3409	4058	1	F5
6158	3869	3293	1	F5
6166	3869	3293	1	F5
6169	3869	3293	2	F5
6176	4054	4110	2	F5
6201	3672	4208	2	F5
6231	4187	4350	1	F5
6233	4187	4350	1	F5
6236	4274	4295	2	F5
6238	4274	4295	1	F5
6239	4274	4295	2	F5
6261	4333	4078	2	F5
6265	4333	4078	1	F5
6282	3765	4109	1	F5
6291	3950	4143	1	F5
6292	3950	4143	1	F5
6293	3950	4143	2	F5
6303	2785	4100	2	F5
6327	3606	4243	1	F5
6333	4138	4256	2	F5
6341	4138	4256	1	F5
6344	4138	4256	1	F5
6346	4258	3867	1	F5
6347	4258	3867	2	F5
6349	4258	3867	2	F5
6378	4104	3488	1	F5
6387	4080	3526	2	F5
6388	4080	3526	1	F5
6394	4165	3759	2	F5
6398	4165	3759	1	F5
6403	4071	4302	2	F5
6405	4071	4302	1	F5
6406	4071	4302	1	F5
6414	3632	4180	1	F5
6418	4046	4331	2	F5
6424	4046	4331	1	F5
6433	4346	4139	2	F5
6435	4346	4139	1	F5
6441	4082	4026	2	F5
6458	3636	4020	2	F5
6462	3636	4020	1	F5
6475	4264	4424	2	F5
6481	4264	4424	2	F5
6495	4419	4267	1	F5
6505	4306	3747	2	F5
6507	4306	3747	2	F5
6550	3496	4157	2	F5
6554	3496	4157	1	F5
6605	3872	3628	1	F5
6606	3872	3628	2	F5
6740	4887	4831	1	F6
6741	4887	4831	2	F6
6745	4887	4831	2	F6
6751	4909	4826	2	F6
6752	4909	4826	1	F6
6755	4909	4826	1	F6
6876	4589	4900	2	F6
6881	4589	4900	1	F6
6891	4970	4917	1	F6
6892	4970	4917	2	F6
6943	4573	4715	1	F6
6945	4573	4715	1	F6
6954	4688	4585	1	F6
6957	4688	4585	2	F6
6959	4688	4585	2	F6
6981	4823	4691	2	F6
6989	5058	4833	1	F6
6990	5058	4833	2	F6
6999	5066	5060	1	F6
7004	5066	5060	2	F6
7006	5084	4921	1	F6
7014	5113	4590	1	F6
7015	5113	4590	1	F6
7024	5006	5135	2	F6
7027	5006	5135	1	F6
7028	5006	5135	2	F6
7073	5056	5305	1	F6
7074	5056	5305	1	F6
7082	5056	5305	2	F6
7117	5196	5434	1	F6
7136	5507	4639	2	F6
7146	5507	4639	1	F6
7210	4716	5018	2	F6
7216	4716	5018	1	F6
7222	5050	4889	2	F6
7227	4976	5111	2	F6
7228	4976	5111	2	F6
7235	4976	5111	1	F6
7319	4828	5007	1	F6
7348	4640	5070	1	F6
7354	4640	5070	2	F6
7366	4939	5510	1	F6
7371	5136	5570	2	F6
7376	5136	5570	1	F6
7383	5530	4988	1	F6
7384	5530	4988	2	F6
7393	5528	5580	1	F6
7396	5528	5580	2	F6
7404	4914	5588	2	F6
7408	4914	5588	1	F6
7438	5581	5525	1	F6
7444	5581	5525	2	F6
7463	4998	5612	2	F6
7465	4998	5612	1	F6
7472	5572	4940	1	F6
7474	5572	4940	2	F6
7484	5619	4974	2	F6
7486	5619	4974	1	F6
7488	5706	5496	1	F6
7493	5706	5496	2	F6
7502	5757	5348	2	F6
7505	5757	5348	1	F6
7512	4717	5621	2	F6
7514	4717	5621	1	F6
7525	5617	5296	1	F6
7527	5617	5296	2	F6
7532	5765	4915	2	F6
7533	5765	4915	1	F6
7541	4719	5041	2	F6
7545	4719	5041	1	F6
7566	4987	4718	1	F6
7568	4987	4718	2	F6
7571	5750	5591	1	F6
7572	5750	5591	2	F6
7583	5785	5202	2	F6
7623	5601	5870	1	F6
7628	5601	5870	2	F6
7631	5658	5843	2	F6
7636	5658	5843	1	F6
7641	5784	5345	1	F6
7647	5784	5345	2	F6
7656	5867	5627	2	F6
7658	5867	5627	1	F6
7661	5298	5941	1	F6
7664	5298	5941	2	F6
7713	5832	6051	1	F6
7727	5646	6053	2	F6
7735	5646	6053	1	F6
7766	6058	5657	1	F6
7777	5350	6028	1	F6
7779	5350	6028	1	F6
7782	5350	6028	2	F6
7784	5783	5958	2	F6
7788	5783	5958	2	F6
7789	5783	5958	1	F6
7794	5503	5814	2	F6
7802	5676	6024	2	F6
7804	5676	6024	1	F6
7810	5676	6024	2	F6
7874	6158	5835	2	F6
7875	6158	5835	2	F6
7877	6158	5835	1	F6
7884	6233	6239	1	F6
7905	5883	6176	1	F6
7908	6166	5822	1	F6
7910	6166	5822	2	F6
7926	6231	6236	2	F6
7933	5741	6475	1	F6
7938	5741	6475	1	F6
7940	5741	6475	2	F6
7946	6327	5829	2	F6
7949	6327	5829	2	F6
7954	6327	5829	1	F6
7968	5823	6261	2	F6
7972	5823	6261	1	F6
7980	6130	6347	1	F6
7981	6282	5792	2	F6
7985	6282	5792	1	F6
7997	6346	6126	2	F6
8007	6096	6169	2	F6
8010	6096	6169	1	F6
8013	5939	6201	1	F6
8017	5939	6201	2	F6
8018	5939	6201	2	F6
8023	6110	6303	2	F6
8025	6341	5761	1	F6
8028	6341	5761	2	F6
8031	6341	5761	1	F6
8033	5436	5707	1	F6
8038	5436	5707	2	F6
8044	6238	6418	1	F6
8051	6238	6418	2	F6
8055	6414	6122	1	F6
8059	6414	6122	2	F6
8074	5689	6333	1	F6
8095	6435	5788	1	F6
8104	6020	6458	2	F6
8109	6020	6458	1	F6
8113	5589	6481	1	F6
8118	5589	6481	2	F6
8119	5589	6481	2	F6
8120	5844	6441	1	F6
8123	6291	6387	2	F6
8124	6291	6387	1	F6
8128	6424	5817	2	F6
8133	6424	5817	1	F6
8138	6265	5880	2	F6
8139	6265	5880	1	F6
8142	6265	5880	2	F6
8154	6378	6117	2	F6
8156	6378	6117	1	F6
8158	6378	6117	2	F6
8159	6378	6117	1	F6
8166	6062	6394	1	F6
8171	6062	6394	2	F6
8184	6406	5690	1	F6
8188	6406	5690	2	F6
8198	6405	6070	1	F6
8199	6405	6070	2	F6
8201	6405	6070	2	F6
8209	6495	5747	1	F6
8211	6495	5747	2	F6
8213	6495	5747	2	F6
8217	4919	4571	1	F6
8222	5961	6293	2	F6
8224	5961	6293	1	F6
8226	5571	5088	2	F6
8228	5571	5088	1	F6
8232	5571	5088	2	F6
8251	6388	6094	2	F6
8252	6388	6094	1	F6
8255	6388	6094	1	F6
8331	5776	6433	2	F6
8335	5776	6433	1	F6
8336	5776	6433	2	F6
8345	6344	6550	2	F6
8360	5644	6046	1	F6
8364	5644	6046	2	F6
8370	6554	6403	1	F6
8372	6554	6403	2	F6
8380	6292	6606	2	F6
8381	6292	6606	2	F6
8383	6292	6606	1	F6
8411	6462	6505	1	F6
8430	6605	6507	1	F6
8447	6398	6349	2	F6
8470	5432	5637	1	F6
8474	5432	5637	2	F6
8611	6740	6957	2	F7
8664	6945	7082	2	F7
8665	6945	7082	1	F7
8688	7216	6892	2	F7
8692	7216	6892	1	F7
8693	7216	6892	1	F7
8695	7408	6959	1	F7
8701	7408	6959	2	F7
8708	7505	7493	2	F7
8717	7014	7444	1	F7
8721	7014	7444	2	F7
8722	7014	7444	2	F7
8728	6954	7463	2	F7
8734	6954	7463	1	F7
8740	7488	7502	2	F7
8745	7488	7502	2	F7
8747	7488	7502	1	F7
8749	6752	6741	1	F7
8767	6954	7463	1	F7
8778	6755	6745	2	F7
8822	6881	7024	1	F7
8824	6881	7024	1	F7
